prec_no,block_no,prec_name,block_name,ob_type
17,47405,網走・北見・紋別地方,雄武,s
17,0063,網走・北見・紋別地方,興部,a
17,47435,網走・北見・紋別地方,紋別,s
17,0065,網走・北見・紋別地方,湧別,a
17,0066,網走・北見・紋別地方,滝上,a
17,0067,網走・北見・紋別地方,上藻別,a
17,0068,網走・北見・紋別地方,常呂,a
17,0069,網走・北見・紋別地方,遠軽,a
17,0070,網走・北見・紋別地方,佐呂間,a
17,47409,網走・北見・紋別地方,網走,s
17,0072,網走・北見・紋別地方,生田原,a
17,0073,網走・北見・紋別地方,仁頃山,a
17,0074,網走・北見・紋別地方,北見,a
17,0075,網走・北見・紋別地方,小清水,a
17,0076,網走・北見・紋別地方,斜里,a
17,0077,網走・北見・紋別地方,留辺蘂,a
17,0078,網走・北見・紋別地方,留辺蘂山,a
17,0079,網走・北見・紋別地方,美幌,a
17,0080,網走・北見・紋別地方,藻琴山,a
17,0081,網走・北見・紋別地方,チミケップ山,a
17,0082,網走・北見・紋別地方,津別,a
17,0083,網走・北見・紋別地方,北見中山,a
17,0981,網走・北見・紋別地方,宇登呂,a
17,1073,網走・北見・紋別地方,西興部,a
17,1092,網走・北見・紋別地方,白滝,a
17,1209,網走・北見・紋別地方,境野,a
17,1263,網走・北見・紋別地方,東藻琴,a
17,1420,網走・北見・紋別地方,丸瀬布,a
17,1460,網走・北見・紋別地方,女満別,a
17,1487,網走・北見・紋別地方,紋別小向,a
17,1568,網走・北見・紋別地方,津別二又,a
17,1569,網走・北見・紋別地方,置戸常元,a
17,1617,網走・北見・紋別地方,山園,a
18,0084,根室地方,羅臼,a
18,0085,根室地方,標津,a
18,0086,根室地方,中標津,a
18,0087,根室地方,計根別,a
18,0088,根室地方,別海,a
18,47420,根室地方,根室,s
18,1056,根室地方,納沙布,a
18,1196,根室地方,厚床,a
18,1266,根室地方,糸櫛別,a
18,1489,根室地方,根室中標津,a
18,1547,根室地方,上標津,a
19,0090,釧路地方,川湯,a
19,0091,釧路地方,阿寒湖畔,a
19,0092,釧路地方,弟子屈,a
19,0093,釧路地方,標茶,a
19,0094,釧路地方,幌呂台地,a
19,0095,釧路地方,中徹別,a
19,0096,釧路地方,阿寒,a
19,0097,釧路地方,霧多布,a
19,0098,釧路地方,白糠,a
19,47418,釧路地方,釧路,s
19,1107,釧路地方,二俣,a
19,1186,釧路地方,鶴居,a
19,1187,釧路地方,弟子屈,a
19,1192,釧路地方,太田,a
19,1195,釧路地方,榊町,a
19,1283,釧路地方,知方学,a
19,1403,釧路地方,塘路,a
19,1417,釧路地方,茶内原野,a
19,1461,釧路地方,鶴丘,a
20,0100,十勝地方,軍艦山,a
20,0101,十勝地方,陸別,a
20,0102,十勝地方,殖産高地,a
20,0103,十勝地方,ぬかびら源泉郷,a
20,0104,十勝地方,小坂山,a
20,0105,十勝地方,上足寄,a
20,0106,十勝地方,西ヌプカウシ山,a
20,0107,十勝地方,上士幌,a
20,0108,十勝地方,幌安山,a
20,0109,十勝地方,足寄,a
20,0110,十勝地方,佐幌岳,a
20,0111,十勝地方,三角山,a
20,0112,十勝地方,本別,a
20,0113,十勝地方,新得,a
20,0114,十勝地方,鹿追,a
20,0115,十勝地方,芽室,a
20,47417,十勝地方,帯広,s
20,0117,十勝地方,池田,a
20,0118,十勝地方,浦幌,a
20,0119,十勝地方,帯広岳,a
20,0120,十勝地方,ひょうたん沢,a
20,0121,十勝地方,大樹,a
20,47440,十勝地方,広尾,s
20,1099,十勝地方,三国山,a
20,1204,十勝地方,駒場,a
20,1210,十勝地方,上札内,a
20,1211,十勝地方,更別,a
20,1214,十勝地方,大津,a
20,1286,十勝地方,糠内,a
20,1404,十勝地方,小利別,a
20,1405,十勝地方,押帯,a
20,1409,十勝地方,柏倉,a
20,1410,十勝地方,上螺湾,a
20,1418,十勝地方,留真,a
20,1510,十勝地方,帯広泉,a
20,1571,十勝地方,三股,a
21,0123,胆振地方,安平,a
21,0124,胆振地方,厚真,a
21,0125,胆振地方,穂別,a
21,0126,胆振地方,森野,a
21,47424,胆振地方,苫小牧,s
21,0128,胆振地方,大岸,a
21,0129,胆振地方,有珠山,a
21,0130,胆振地方,白老,a
21,0131,胆振地方,鵡川,a
21,0132,胆振地方,伊達,a
21,0133,胆振地方,登別山,a
21,0134,胆振地方,登別,a
21,47423,胆振地方,室蘭,s
21,1067,胆振地方,大滝,a
21,1329,胆振地方,洞爺湖温泉,a
21,1429,胆振地方,カルルス,a
21,1496,胆振地方,豊浦,a
21,1498,胆振地方,花和,a
21,1499,胆振地方,虻田,a
21,1500,胆振地方,壮瞥,a
21,1501,胆振地方,入江,a
21,1502,胆振地方,月浦,a
21,1503,胆振地方,北有珠,a
21,1504,胆振地方,洞爺湖畔,a
21,1665,胆振地方,厚真幌内,a
22,0136,日高地方,日高門別,a
22,0137,日高地方,新和,a
22,0138,日高地方,ヌモトル山,a
22,0139,日高地方,笹山,a
22,0140,日高地方,静内,a
22,0141,日高地方,ピセナイ山,a
22,47426,日高地方,浦河,s
22,1097,日高地方,仁世宇,a
22,1198,日高地方,三石,a
22,1202,日高地方,日高,a
22,1264,日高地方,幌満,a
22,1276,日高地方,目黒,a
22,1288,日高地方,中杵臼,a
22,1340,日高地方,えりも岬,a
22,1430,日高地方,旭,a
22,1594,日高地方,平取,a
23,0143,渡島地方,長万部,a
23,0144,渡島地方,八雲,a
23,0145,渡島地方,森,a
23,0146,渡島地方,大沼,a
23,0147,渡島地方,川汲,a
23,0148,渡島地方,北斗,a
23,47430,渡島地方,函館,s
23,0150,渡島地方,汐首,a
23,0151,渡島地方,小谷石,a
23,0152,渡島地方,松前,a
23,0917,渡島地方,木古内,a
23,1265,渡島地方,千軒,a
23,1416,渡島地方,蛾眉野,a
23,1462,渡島地方,高松,a
23,1543,渡島地方,戸井泊,a
23,1552,渡島地方,知内,a
23,0155,渡島地方,熊石,a
24,0153,檜山地方,せたな,a
24,0154,檜山地方,今金,a
24,0156,檜山地方,潮見,a
24,47428,檜山地方,江差,s
24,1199,檜山地方,奥尻,a
24,1200,檜山地方,鶉,a
24,1205,檜山地方,石崎,a
24,1513,檜山地方,米岡,a
31,0158,青森県,障子山,a
31,47576,青森県,むつ,s
31,0160,青森県,蟹田,a
31,47575,青森県,青森,s
31,0162,青森県,野辺地,a
31,0163,青森県,鰺ケ沢,a
31,0164,青森県,五所川原,a
31,47574,青森県,深浦,s
31,0166,青森県,弘前,a
31,0167,青森県,黒石,a
31,0168,青森県,八甲田山,a
31,0169,青森県,三沢,a
31,0170,青森県,四兵衛森,a
31,0171,青森県,毛無山,a
31,0172,青森県,十和田,a
31,47581,青森県,八戸,s
31,0174,青森県,大鰐,a
31,0175,青森県,碇ケ関,a
31,0176,青森県,空岱山,a
31,0177,青森県,休屋,a
31,0178,青森県,朝日奈岳,a
31,0179,青森県,三戸,a
31,1026,青森県,今別,a
31,1027,青森県,六ケ所,a
31,1041,青森県,大間,a
31,1042,青森県,大和山,a
31,1079,青森県,酸ケ湯,a
31,1108,青森県,岳,a
31,1110,青森県,長慶平,a
31,1119,青森県,市浦,a
31,1122,青森県,小田野沢,a
31,1124,青森県,脇野沢,a
31,1183,青森県,七戸,a
31,1272,青森県,戸来,a
31,1406,青森県,温川,a
31,1495,青森県,青森大谷,a
31,1559,青森県,湯野川,a
32,0180,秋田県,田代岳,a
32,0181,秋田県,陣場,a
32,0182,秋田県,杉沢山,a
32,0183,秋田県,能代,a
32,0184,秋田県,鷹巣,a
32,0185,秋田県,鹿角,a
32,0186,秋田県,湯瀬,a
32,0187,秋田県,森吉山,a
32,0188,秋田県,五城目,a
32,0189,秋田県,男鹿本山,a
32,47582,秋田県,秋田,s
32,0191,秋田県,太平山,a
32,0192,秋田県,岩見三内,a
32,0193,秋田県,角館,a
32,0194,秋田県,田沢湖,a
32,0195,秋田県,大曲,a
32,0196,秋田県,本荘,a
32,0197,秋田県,保呂羽山,a
32,0198,秋田県,横手,a
32,0199,秋田県,にかほ,a
32,0200,秋田県,矢島,a
32,0201,秋田県,三森山,a
32,0202,秋田県,湯沢,a
32,0203,秋田県,姥井戸山,a
32,0204,秋田県,湯の岱,a
32,0912,秋田県,大館,a
32,1035,秋田県,大潟,a
32,1036,秋田県,男鹿,a
32,1043,秋田県,八森,a
32,1050,秋田県,大正寺,a
32,1109,秋田県,東成瀬,a
32,1115,秋田県,比立内,a
32,1117,秋田県,東由利,a
32,1131,秋田県,阿仁合,a
32,1167,秋田県,鎧畑,a
32,1273,秋田県,藤里,a
32,1278,秋田県,桧木内,a
32,1289,秋田県,八幡平,a
32,1407,秋田県,笹子,a
32,1408,秋田県,藤原,a
32,1422,秋田県,男鹿真山,a
32,1425,秋田県,仁別,a
32,1463,秋田県,脇神,a
32,1511,秋田県,雄和,a
32,1652,秋田県,田沢湖高原,a
33,0205,岩手県,種市,a
33,0206,岩手県,軽米,a
33,0207,岩手県,二戸,a
33,0208,岩手県,折爪岳,a
33,0209,岩手県,久慈,a
33,0210,岩手県,西岳,a
33,0211,岩手県,葛巻,a
33,0212,岩手県,袖山,a
33,0213,岩手県,茶臼岳,a
33,0214,岩手県,岩手松尾,a
33,0215,岩手県,岩手山,a
33,0216,岩手県,岩洞,a
33,0217,岩手県,大森山,a
33,0218,岩手県,岩泉,a
33,0219,岩手県,駒ケ岳,a
33,0220,岩手県,害鷹森,a
33,0221,岩手県,雫石,a
33,47584,岩手県,盛岡,s
33,47585,岩手県,宮古,s
33,0224,岩手県,薬師岳,a
33,0225,岩手県,黒森山,a
33,0226,岩手県,豊沢,a
33,0227,岩手県,花巻,a
33,0228,岩手県,大迫,a
33,0229,岩手県,湯田,a
33,0230,岩手県,北上,a
33,0231,岩手県,遠野,a
33,0232,岩手県,五葉山,a
33,0233,岩手県,釜石,a
33,0234,岩手県,岳山,a
33,0235,岩手県,若柳,a
33,0236,岩手県,江刺,a
33,47512,岩手県,大船渡,s
33,0238,岩手県,一関,a
33,0239,岩手県,千厩,a
33,0240,岩手県,室根山,a
33,1028,岩手県,祭畤,a
33,1032,岩手県,好摩,a
33,1033,岩手県,山田,a
33,1037,岩手県,大野,a
33,1045,岩手県,衣川,a
33,1078,岩手県,薮川,a
33,1113,岩手県,米里,a
33,1118,岩手県,沢内,a
33,1120,岩手県,荒屋,a
33,1123,岩手県,普代,a
33,1128,岩手県,紫波,a
33,1168,岩手県,葛根田,a
33,1206,岩手県,住田,a
33,1212,岩手県,小本,a
33,1215,岩手県,奥中山,a
33,1219,岩手県,山形,a
33,1224,岩手県,川井,a
33,1225,岩手県,門馬,a
33,1332,岩手県,下戸鎖,a
33,1447,岩手県,区界,a
33,1508,岩手県,大槌,a
33,1557,岩手県,大東,a
33,1558,岩手県,金ケ崎,a
33,1560,岩手県,滝沢,a
33,1563,岩手県,附馬牛,a
33,1598,岩手県,厳美,a
33,1627,岩手県,刈屋,a
33,1628,岩手県,新町,a
33,1629,岩手県,陸前高田,a
33,1653,岩手県,一方井,a
34,0241,宮城県,栗駒山,a
